name,phone,website,address,rating,reviews,city,state,category,place_id,business_status
WAAREE Group,022 6644 4444,https://www.waaree.com/,"Western Edge I, 602, off Western Express Highway, Food Corporation of India Warehouse, Borivali East, Mumbai, Maharashtra 400066, India",4.6,96,Mumbai,Maharashtra,Solar Inverter Specialists,ChIJRxrdVjK35zsRPIYrUGoW2mo,OPERATIONAL
Solarica System,,,"shree row house, F44/32, near Shiva ji Chowk, Block G, Sector 12, Kharghar, Navi Mumbai, Maharashtra 410210, India",4.7,13,Mumbai,Maharashtra,Solar Inverter Specialists,ChIJVVVVVfHB5zsRvjvif71ynS4,OPERATIONAL
Nalanda Inverter & Airconditioner Authorised Luminous distributor in raigad/ Navi mumbai,093241 78555,,"Plot No.162, Arihant Plaza, Vasudev Balwant Phadke Rd, MCCH Society, Panvel, Navi Mumbai, Maharashtra 410206, India",4.7,43,Mumbai,Maharashtra,Solar Inverter Specialists,ChIJIayQn2vo5zsR-U76_EO9OVY,OPERATIONAL
Cymoline Sales Corporation,093246 92404,http://www.cymoline.net/,"Shop No 12, Smashaan bhoomi, Om Sai Vyapari Mandal, Ghatkopar, Ghatkopar - Mahul Rd, near Meghraj Hotel, nr. Ghatkopar Smashaan, Vidyanagar, Vidya Vihar East, Chembur, Mumbai, Maharashtra 400077, India",4.8,22,Mumbai,Maharashtra,Solar Inverter Specialists,ChIJGW5_ciHP5zsRH7ICc69otww,OPERATIONAL
Sunwave Solar Power Cleaning service & solution,098675 02760,http://sunwavesolarpower.com/,"A Wing, Ground Floor, 001 Mandakini Building, Bus Stop, near Dahisar East, Mandakini Cooperative Housing Society Limited, Mahavir Nagar, Dahisar East, Mumbai, Maharashtra 400068, India",5,5,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJSb9UBkKx5zsR1qLU6fQIlwo,OPERATIONAL
Go Mumbai Solar LLP EPC,084336 00378,https://mumbaisolar.in/,"Shop No : 14, B Wing , Chuim Village Road, Jai Hind Trimurti CHS, 16th Rd, Pyari Nagar, Hanuman Nagar, Khar West, Mumbai, Maharashtra 400052, India",5,12,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJe3xzdHTJ5zsRwcN1AV31stE,OPERATIONAL
Avishakti Rooftop Solar Pvt Ltd,081698 22469,http://avishaktisolar.com/,"211, A-WING, Centrum Business Square, Road No. 16, नेहेरू नगर, वागळे इंडस्ट्रियल इस्टेट, ठाणे वेस्ट, ठाणे, महाराष्ट्र 400604, India",5,10,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJa7NU7iTO5zsRqL63RP6qwp0,OPERATIONAL
Solar Assist,090226 50560,,"Hermes Atrium, Unit No.: 309, A - Wing, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",5,2,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJYQ8xpIjD5zsR3T_rCWBKpgg,OPERATIONAL
Proficience Solar Systems,080808 18248,http://www.proficiencesystems.com/,"Mahadev Complex, Behind Kutirodyog Bhavan Netaji Subhash Path Next to Shri Kopineshwar Temple, near Bramhan Sabha Sabhagruha, Jambli Naka, Thane West, Thane, Maharashtra 400601, India",4.8,49,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJhffAY0K55zsR8iAhYwi6lGQ,OPERATIONAL
Rising Sun Electric | Solar Panel Installation in Mumbai | Solar EPC | Renewable Energy,070212 13467,https://solarrse.com/,"Somaiya Chember, Swami Vivekanand Rd, opp. Metro Shoes, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064, India",5,47,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJYQQRUk-35zsReEBqh7w-3Jc,OPERATIONAL
Kavish Eco Energy Solutions,099203 36365,http://www.kavishenergy.com/,"The Palazzo, C 103, in front of Mandapeshwar Sub-Post office, I C Colony, Borivali West, Mumbai, Maharashtra 400103, India",5,32,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJw6CcIUaw5zsRSbMN0E6YhKM,OPERATIONAL
SunDesh Solar Systems & Services Marketing India Pvt Ltd,099590 13982,http://www.sundeshsolar.com/,"1, Sun Heights, Suncity Complex, Venus CHS, HMPL Surya Nagar, Powai, Mumbai, Maharashtra 400076, India",5,1,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJfRz_6VrH5zsRANCT2fADKnw,OPERATIONAL
Soururja Solution,070210 85155,http://www.soururjasolution.in/,"2-511, Shree Tirupati Balaji CHS, Sahar Rd, Koldongri, Andheri East, Mumbai, Maharashtra 400069, India",5,30,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJM7msjMzJ5zsRhQNTXVcZOhU,OPERATIONAL
ReNova Pulse Energy Pvt. Ltd. | Solar Rooftop for Industrial and Residential,,,"KAILASH BUSINESS PARK, A-216, Veer Sawarkar Marg, HMPL सुर्या नगर, विखरवली वेस्ट, मुंबई, महाराष्ट्र 400079, India",4.8,61,Mumbai,Maharashtra,Solar AMC & Maintenance,ChIJTT44xe7H5zsRGVdbjsXf-EY,OPERATIONAL
SAWERI URJA Pvt. Ltd.,,,"Saiyad ul Ajaib, Sainik Farm, New Delhi, Delhi 110030, India",4.9,183,Delhi,Delhi,Commercial Solar Installers,ChIJBQAAUfvhDDkRaMqkXqSEbno,OPERATIONAL
J S SOLARTECH INDIA PRIVATE LIMITED,098108 05360,http://www.jssolartech.com/,"46, B Block, DDA Market, Pushpanjali Enclave, Pitampura, Delhi, 110034, India",4.9,151,Delhi,Delhi,Commercial Solar Installers,ChIJJ4-tFPoDDTkR0W4G7Gx6E20,OPERATIONAL
Nav Solar Power Pvt. Ltd. | Best Solar Company in Delhi NCR,092059 18380,https://navsolarpower.com/,"Mohan Sadan, BH Market, 202/5, near Police Station, Poorbi Shalimar Bag, Shalimar Bagh, New Delhi, Delhi, 110088, India",4.9,54,Delhi,Delhi,Commercial Solar Installers,ChIJea5RUpcBDTkRVd7zQ6boN5A,OPERATIONAL
"Alien Energy Solar - Best Solar Energy Company in Delhi, NCR India | Solar Rooftop Company in Delhi, India",1800 309 2201,https://alienenergy.in/solar-company-in-india,"Ground Floor, 91, Kiran Vihar, Karkardooma, Anand Vihar, Delhi, 110092, India",4.6,45,Delhi,Delhi,Commercial Solar Installers,ChIJK5tk9Pn7DDkRaUu8IWXGKek,OPERATIONAL
GeoPower India Pvt Ltd,097117 94449,https://geosolar.in/,"A-87, Shivalik Rd, Block C, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017, India",4.5,128,Delhi,Delhi,Commercial Solar Installers,ChIJJTmX5RviDDkR7hYFMtMNsnQ,OPERATIONAL
"Solar India Enterprises supplier & manufactures Of solar panel, solar water heater & solar power plant in Delhi",098116 06202,https://www.solarindiaent.com/,"M-5/4-5-6, Vishal Market, West Mukherjee Nagar, Delhi - 110 009, India, West Mukherjee Nagar, Mukherjee Nagar, Delhi, 110033, India",4.6,48,Delhi,Delhi,Commercial Solar Installers,ChIJ67gPhfv9DDkROwxSrT4EgNc,OPERATIONAL
SOLAR-MAIT India,,,"2nd Floor, Plot No 14 & 15, Najafgarh Rd, above SBI Bank, Ranaji Enclave, Masudabad, Nangli Sakrawati, New Delhi, Delhi, 110043, India",4.8,127,Delhi,Delhi,Commercial Solar Installers,ChIJrcvWplQDDTkRl5uIO3FwGiA,OPERATIONAL
Oakridge Energy - Leading Solar Developer for Commercial & Industrial Establishments,099717 38111,https://www.oakridge.co.in/,"B 6/13, B6, Block B6, Humayunpur, Safdarjung Enclave, New Delhi, Delhi 110029, India",4.2,22,Delhi,Delhi,Commercial Solar Installers,ChIJTbHwAXriDDkR3gFIjD7wNI8,OPERATIONAL
Exolar Energy Private Limited,093191 79678,http://exolarenergy.com/,"405, Pearls Best Heights-1, Netaji Subhash Place, Pitampura, Delhi, 110034, India",4.9,41,Delhi,Delhi,Commercial Solar Installers,ChIJzauMzIcBDTkR3Gp8qd0QRYk,OPERATIONAL
India Solar Energies,099904 91143,http://www.indsolars.in/,"Gali Number 6, near Musa apartment, Block S, Jogabai Extension, Zakir Nagar, Okhla, New Delhi, Delhi 110025, India",4.8,62,Delhi,Delhi,Commercial Solar Installers,ChIJBdoXSB3jDDkRDBClUPTr7Ug,OPERATIONAL
"Solar India Enterprises supplier & manufactures Of solar panel, solar water heater & solar power plant in Delhi",098116 06202,https://www.solarindiaent.com/,"M-5/4-5-6, Vishal Market, West Mukherjee Nagar, Delhi - 110 009, India, West Mukherjee Nagar, Mukherjee Nagar, Delhi, 110033, India",4.6,48,Delhi,Delhi,Solar Panel Dealers,ChIJ67gPhfv9DDkROwxSrT4EgNc,OPERATIONAL
